Open,High,Low,Close,Volume
1.770833,1.833333,1.640625,1.8125,12762000
1.833333,1.869792,1.645833,1.671875,8580000
1.677083,1.71875,1.583333,1.666667,6109200
1.666667,1.677083,1.651042,1.661458,5688000
1.661458,1.666667,1.583333,1.583333,6100800
1.583333,1.625,1.583333,1.614583,3867600
1.583333,1.625,1.442708,1.489583,6602400
1.46875,1.541667,1.458333,1.520833,1878000
1.541667,1.645833,1.520833,1.604167,4548000
1.630208,1.666667,1.588542,1.651042,3421200
1.661458,1.666667,1.59375,1.59375,3852000
1.625,1.635417,1.510417,1.53125,2174400
1.53125,1.572917,1.489583,1.515625,3705600
1.520833,1.708333,1.520833,1.645833,3306000
1.666667,1.75,1.666667,1.739583,2743200
1.770833,1.84375,1.572917,1.75,5275200
1.708333,1.729167,1.625,1.65625,1693200
1.708333,1.729167,1.635417,1.682292,1767600
1.666667,1.770833,1.645833,1.739583,1884000
1.770833,1.791667,1.65625,1.75,5131200
1.791667,1.869792,1.6875,1.833333,3452400
2.104167,2.1875,1.932292,1.979167,15319200
2.0625,2.125,1.885417,1.916667,3728400
1.9375,2,1.8125,1.828125,4315200
1.875,1.916667,1.75,1.838542,2304000
1.833333,1.84375,1.791667,1.822917,1381200
1.833333,1.833333,1.6875,1.697917,1534800
1.78125,1.791667,1.645833,1.661458,1434000
1.677083,1.760417,1.677083,1.755208,1969200
1.708333,1.833333,1.677083,1.78125,1897200
1.776042,1.864583,1.776042,1.838542,3579600
1.864583,1.864583,1.78125,1.807292,5883600
1.776042,1.807292,1.729167,1.729167,1357200
1.739583,1.739583,1.666667,1.697917,2269200
1.739583,1.791667,1.729167,1.770833,2720400
1.78125,1.802083,1.697917,1.713542,1978800
1.729167,1.760417,1.682292,1.723958,1284000
1.729167,1.770833,1.6875,1.744792,1158000
1.739583,1.802083,1.739583,1.75,2632800
1.786458,1.791667,1.697917,1.697917,916800
1.708333,1.708333,1.5625,1.59375,4099200
1.583333,1.59375,1.520833,1.583333,1521600
1.578125,1.666667,1.572917,1.604167,1008000
1.625,1.75,1.625,1.744792,2206800
1.796875,1.838542,1.765625,1.796875,1648800
1.802083,1.817708,1.635417,1.645833,1737600
1.697917,1.78125,1.619792,1.760417,3840000
1.760417,1.770833,1.677083,1.708333,760800
1.6875,1.729167,1.645833,1.65625,2466000
1.671875,1.677083,1.583333,1.614583,1742400
1.625,1.760417,1.614583,1.75,2232000
1.760417,1.833333,1.739583,1.78125,3253200
1.791667,1.791667,1.739583,1.75,1215600
